participantId,assists,champLevel,combatPlayerScore,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,goldEarned,goldSpent,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,championId,highestAchievedSeasonTier,spell1Id,spell2Id,win,teamId,creepsPerMinDeltas,csDiffPerMinDeltas,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,goldPerMinDeltas,lane,role,xpDiffPerMinDeltas,xpPerMinDeltas,gameId
6,9,12,0,4638,1788,7643,5,0,false,false,false,false,true,false,8662,8375,3157,3098,3165,1082,0,3158,3364,1,4,558,44071,15140,1553,1,0,1,1330,131,9664,48887,16198,12641,2733,35,3485,926,1423,9,CHALLENGER,14,4,false,200,0.2 2,,,239.4 378.1,223.1 363.6,BOTTOM,DUO_SUPPORT,,241.2 375.5,1478243634
7,8,15,0,2321,648,15535,8,0,false,false,false,false,false,false,9169,9550,3047,3142,3071,2033,2055,1036,3364,0,0,532,20029,3871,3946,10,0,4,101607,12777,14995,124001,16649,22502,982,207,2365,0,3559,126,DIAMOND,4,12,false,200,7.300000000000001 8,-1.1999999999999997 1,6 -130.00000000000006,251.8 765.7,260.3 322.6,TOP,SOLO,-44 13.199999999999989,423.3 508.6,1478243634
8,8,16,0,2771,1301,21077,6,2,false,false,false,false,true,false,12087,11383,3077,1038,2055,3078,3111,1412,3364,1,8,510,3603,634,4086,97,5,69,109095,11455,21603,135785,17449,27983,8560,55,23087,5359,2293,164,CHALLENGER,11,4,false,200,0.8 1.4,0.5 -0.20000000000000007,-90.19999999999999 171.2000000000001,559.6 990.7,273.70000000000005 394.29999999999995,JUNGLE,NONE,-90.7 89.70000000000005,291.9 556.1,1478243634
9,4,15,0,9948,2903,8717,5,0,false,false,false,false,false,false,11707,11325,3153,0,3124,3094,1054,3006,3363,2,6,656,16412,3220,921,10,0,6,127560,11049,10775,146033,14936,12980,1590,219,2060,666,1283,110,CHALLENGER,7,4,false,200,7.9 6.699999999999999,,,146.8 408.79999999999995,327.2 346.9,BOTTOM,DUO_CARRY,,304.6 388.1,1478243634
10,9,14,0,1472,739,16076,6,0,false,false,false,false,false,false,9603,9225,1056,3285,3136,3020,3157,0,3363,0,2,389,94368,17586,2425,4,0,4,11676,1125,13483,106044,18711,17378,1286,169,0,0,1469,61,DIAMOND,4,3,false,200,6.199999999999999 6.3,,,374.5 443.2,232.4 374.5,MIDDLE,SOLO,,392.1 401,1478278479
1,14,17,0,18964,5109,8072,5,1,false,false,false,true,false,false,14761,13843,2013,3003,3153,3078,3042,3158,3363,3,8,506,44572,7492,2872,12,4,3,126457,19926,15015,172847,28230,18498,745,216,1817,812,610,81,CHALLENGER,4,12,true,100,4.9 9.1 7.1000000000000005,-1.6999999999999997 -0.7999999999999998 0.8999999999999999,-66.39999999999998 -70.90000000000003 -604.1,352.1 503.09999999999997 778.3,241.1 430.1 618,BOTTOM,DUO_CARRY,-52.39999999999998 -1.0500000000000114 241.70000000000005,252.8 501.7 763.7,1478278479
2,17,15,0,6897,135,5018,6,0,false,false,true,false,false,false,10743,10350,3151,3157,3098,3117,3916,1026,3364,0,3,594,46604,20151,6359,4,0,0,2742,617,7710,50384,21805,15018,1586,35,1037,1037,948,63,UNRANKED,4,14,true,100,0.3 1.2000000000000002 2,-1.6999999999999997 -0.7999999999999998 0.8999999999999999,-66.39999999999998 -70.90000000000003 -604.1,300.4 459.2 512.7,184.5 298.4 444.4,BOTTOM,DUO_SUPPORT,-52.39999999999998 -1.0500000000000114 241.70000000000005,195.5 305.2 677.3,1478278479
3,12,17,0,7580,6908,25707,5,3,false,false,true,false,false,false,17423,16783,3053,3133,3748,3026,3111,3078,3363,4,12,821,19047,5510,9267,8,0,0,176461,16670,18361,202755,28629,32659,10525,278,7247,6447,5030,39,CHALLENGER,14,4,true,100,8.3 11.5 7.199999999999999,2.4000000000000004 3.8 -1,52.800000000000004 248.89999999999998 1074.6,297.8 912.5 1907.1,288.1 533.9 781,MIDDLE,SOLO,67.1 30.399999999999977 154.6,430 606.8 656.3,1478278479
4,10,18,0,16550,437,23580,3,1,false,false,false,false,false,false,14247,13650,3020,3157,1058,1402,3165,3135,3364,1,8,1238,154394,14666,5680,171,12,131,24048,1242,19595,190175,17320,27862,12575,24,11732,1411,2586,79,MASTER,4,11,true,100,0.1 1.1 1.2000000000000002,-0.7 0.49999999999999994 -2.5,62.400000000000006 -365.80000000000007 -279.4,605.8 673.7 1230.2,304 435.2 553.2,JUNGLE,NONE,67.2 151.39999999999998 228.4,360.2 610.5 746.8,1478278479
5,4,17,0,9697,1576,8532,5,1,false,false,true,false,false,false,12169,11025,3146,3020,0,1054,3165,3135,3363,1,6,343,110732,15671,5927,4,0,1,27349,3537,14629,140064,19208,22608,8817,196,1983,0,2051,84,DIAMOND,12,4,true,100,4.699999999999999 6.6 8.2,-2.2 -2.4 1.1,-125.5 -703 -1208.3,422 540.9 892.1,192.9 310.1 488.5,TOP,SOLO,-113.59999999999997 -156.4 201.80000000000007,364.70000000000005 418.70000000000005 690.2,1478278479
6,3,16,0,3035,929,58681,6,0,false,false,false,false,false,true,12001,11880,1054,3194,3111,3071,3068,3076,3340,3,6,669,17974,4777,18883,4,1,0,125311,16331,20489,151049,26416,42683,990,231,7763,5308,3310,86,CHALLENGER,12,4,false,200,6.9 9 7.1,2.2 2.4 -1.1,125.5 703 1208.3,547.5 1243.9 2100.4,270.3 463.40000000000003 392,TOP,SOLO,113.59999999999997 156.4 -201.80000000000007,478.29999999999995 575.1 488.4,1478278479
7,8,15,0,10976,3019,8524,8,1,false,false,false,false,false,false,12834,12375,3153,3124,3094,1037,1054,3006,3363,2,5,499,21906,4288,12325,19,4,9,144296,17912,8464,169556,22200,21982,2641,235,3354,0,1193,110,CHALLENGER,7,4,false,200,7.4 9.8 5.6,1.6999999999999997 0.7999999999999998 -0.8999999999999999,66.39999999999998 70.90000000000003 604.1,339.6 478.5 1180,320.3 409.29999999999995 452.9,BOTTOM,DUO_CARRY,52.39999999999998 1.0500000000000114 -241.70000000000005,300.79999999999995 470 502.09999999999997,1478278479
8,10,13,0,1157,180,24185,8,0,false,false,false,false,false,false,7331,6925,3117,3067,3401,3190,0,0,3364,0,1,444,5764,2126,11347,0,0,0,13770,3831,12992,33299,7087,26517,3242,54,13765,1130,2177,98,CHALLENGER,4,14,false,200,1.2 2.0999999999999996 1.7,1.6999999999999997 0.7999999999999998 -0.8999999999999999,66.39999999999998 70.90000000000003 604.1,445.70000000000005 625.6 1319.1999999999998,171.10000000000002 238.1 225.6,BOTTOM,DUO_SUPPORT,52.39999999999998 1.0500000000000114 -241.70000000000005,252.3 339 455.5,1478278479
9,2,16,0,8231,1400,6785,6,1,false,false,false,false,false,false,12918,11425,3157,1082,3285,3165,0,3020,3364,2,8,418,92687,14536,11261,8,0,4,14638,530,7254,155465,19286,19700,3043,226,48139,4219,1183,103,UNRANKED,4,14,false,200,5.9 7.7 8.2,-2.4000000000000004 -3.8 1,-52.800000000000004 -248.89999999999998 -1074.6,245 663.6 832.5,212.7 559.4 391.1,MIDDLE,SOLO,-67.1 -30.399999999999977 -154.6,362.9 576.4000000000001 501.7,1478278479
10,7,15,0,20610,1169,21354,9,0,false,true,false,false,false,false,11155,10283,1412,2031,3111,3078,3052,1037,3364,1,4,786,15460,1265,11677,114,0,89,141014,10794,20939,165614,12629,34460,12867,57,9140,570,1843,5,CHALLENGER,11,4,false,200,0.8 0.6000000000000001 3.7,0.7 -0.49999999999999994 2.5,-62.400000000000006 365.80000000000007 279.4,543.4 1039.5 1509.6,312.2 311.9 373,JUNGLE,NONE,-67.2 -151.39999999999998 -228.4,293 459.1 518.4,1478521871
1,5,14,0,4722,2881,9942,5,0,false,false,false,false,false,false,9714,9300,1055,3153,3095,3111,3035,1036,3340,0,4,458,701,576,3586,16,0,13,119948,17266,15015,123614,18172,19332,963,165,2965,330,729,133,UNRANKED,4,12,false,100,6.1 7.6,,,283 727.7,250.2 407.7,TOP,DUO,,431.9 521.5,1478521871
2,7,16,0,9554,719,11836,10,0,false,true,false,false,false,false,12671,12550,3040,1056,3165,3089,1026,3020,3363,0,5,238,200987,32622,4275,40,9,21,3370,704,14865,204358,33326,19627,1073,233,0,0,486,30,UNRANKED,4,3,false,100,7.8999999999999995 7.8,,,461.5 596,343.6 496.6,TOP,DUO,,430.70000000000005 624.1,1478521871
3,6,15,0,8949,442,6772,7,0,false,false,false,false,false,false,11114,9575,1055,3006,3095,3087,1038,1037,3363,0,4,351,46560,2908,4465,20,0,15,102139,8777,8235,155230,11685,14152,1820,237,6529,0,1452,18,CHALLENGER,7,4,false,100,6.8 9.5,0.9499999999999995 0.8500000000000001,1.9499999999999886 -132.5,279.2 577.3,269.4 442.20000000000005,BOTTOM,DUO_CARRY,0.8500000000000227 38.599999999999966,279.6 517.9,1478521871
4,13,13,0,118,0,15962,3,0,false,false,false,false,false,false,6703,6050,3109,3047,3401,2055,1028,0,3364,0,0,814,8976,4932,3888,0,0,0,7877,2040,9904,30577,8265,15121,2212,53,13724,1292,1328,89,CHALLENGER,4,14,false,100,2 2.2,0.9499999999999995 0.8500000000000001,1.9499999999999886 -132.5,277.1 440.5,173.3 271.6,BOTTOM,DUO_SUPPORT,0.8500000000000227 38.599999999999966,301 452.1,1478521871
5,1,12,0,1935,0,14880,7,1,false,false,false,false,false,false,9335,8900,1031,2031,3047,1011,3071,1412,3340,1,7,553,16329,2111,7870,97,8,67,69225,8844,14351,91382,11403,24275,5476,12,5827,448,2054,64,DIAMOND,4,11,false,100,0.30000000000000004 0.2,-0.8 -0.8,-86.19999999999999 -272.9,652.8 801.4000000000001,231.3 449.1,JUNGLE,NONE,-109.70000000000002 23.900000000000006,317.6 454.5,1478521871
6,10,17,0,9440,5797,19198,3,1,false,false,false,true,false,false,15177,12625,3077,3052,3071,3193,3143,3047,3340,2,14,840,3395,2525,14043,8,4,4,152111,16113,11827,157220,18992,26250,5209,218,1714,354,380,56,CHALLENGER,4,12,true,200,7.5 8.3,,,618.7 1134.5,475.4 387.5,MIDDLE,SOLO,,539.9 577.7,1478521871
7,20,15,0,21331,2863,24021,4,0,false,false,true,false,false,false,11986,10525,3193,1011,1401,3047,3083,2055,3364,1,4,677,59591,6105,10052,109,12,67,72318,7155,21486,141535,14743,31984,6361,39,9626,1482,445,113,CHALLENGER,11,4,true,200,1.1 1,0.8 0.8,86.19999999999999 272.9,739 1074.3,403 355.7,JUNGLE,NONE,109.70000000000002 -23.900000000000006,427.3 430.6,1478521871
8,14,13,0,3540,1893,7596,6,0,false,false,false,false,false,false,8448,7650,3047,3003,3098,0,3174,0,3364,0,1,533,19643,9855,3860,0,0,0,4749,1750,7311,25298,12510,11332,6743,13,905,905,160,37,DIAMOND,14,4,true,200,0.2 0.1,-0.9499999999999995 -0.8500000000000001,-1.9499999999999886 132.5,188.8 355.4,194.8 256.6,BOTTOM,DUO_SUPPORT,-0.8500000000000227 -38.599999999999966,273.29999999999995 405.20000000000005,1478521871
9,4,15,0,16589,6360,27754,4,1,false,false,false,false,false,true,12147,10550,3067,3047,3143,3076,3071,3211,3340,1,5,316,4821,2504,8297,4,0,4,115755,8728,14317,123387,12167,25251,921,185,2809,933,2636,86,DIAMOND,12,4,true,200,6.6 6.9,,,459.6 921,330.8 409.29999999999995,TOP,SOLO,,489.3 440.2,1478521871
10,6,14,0,9101,3369,17769,3,2,false,false,false,false,false,false,12619,12125,3211,3071,3053,3111,2055,3742,3340,2,8,975,1190,322,8735,0,0,0,101359,8768,15070,107382,11466,24255,2651,203,4831,2376,449,122,MASTER,6,4,true,200,6.7 9.9,-0.9499999999999995 -0.8500000000000001,-1.9499999999999886 132.5,363.6 927.4,262.4 514.2,BOTTOM,DUO_CARRY,-0.8500000000000227 -38.599999999999966,305.6 487.6,1478528757
1,8,15,0,1367,1367,13669,10,0,false,false,false,false,false,false,13390,12750,3158,3153,3140,3035,3025,3042,3363,1,5,462,30737,5572,8060,16,8,8,116145,21117,11916,151387,27226,20954,2453,227,4505,537,977,81,DIAMOND,7,4,false,100,8.3 7.300000000000001 5.6,-0.2999999999999994 0.8999999999999999 -0.7999999999999994,-99.74999999999997 -257.25 -70.54999999999995,303.3 506.90000000000003 985.4,325.8 510.70000000000005 367.6,BOTTOM,DUO_CARRY,-11.749999999999943 73.05000000000007 -222.75000000000006,309.70000000000005 481.20000000000005 466.5,1478528757
2,10,15,0,5168,66,22032,6,0,false,false,false,false,false,false,10030,8950,3157,2031,3040,0,3158,3916,3363,0,2,543,131054,13775,9149,4,0,4,10571,1700,13018,144935,15680,22839,5141,212,3310,204,671,13,UNRANKED,12,4,false,100,5.7 8.2 6.4,,,371.1 482.70000000000005 1161.2,255.89999999999998 329.70000000000005 316.70000000000005,MIDDLE,SOLO,,382.1 537.4000000000001 472.2,1478528757
3,3,16,0,2972,550,12047,10,0,false,true,false,false,false,false,13169,11750,3040,1056,3165,3089,0,3020,3363,2,6,437,194233,30132,7646,21,0,11,3893,365,13707,207778,30594,22754,235,248,9651,96,1400,30,UNRANKED,4,12,false,100,8.7 6.9 8,,,196.8 820.7 1011.9,353.2 352.5 494.1,TOP,SOLO,,449.1 407.4 642.5,1478528757
4,8,16,0,11648,118,16173,9,0,false,false,false,false,false,false,12248,11850,1412,3047,3147,3095,3067,3044,3364,0,3,436,5772,762,11305,137,0,99,181978,21545,13737,199967,24218,26094,5818,90,12216,1910,1051,104,UNRANKED,4,11,false,100,0.6 0.9 5,0.39999999999999997 -0.19999999999999996 3.6,-57.900000000000006 -170.79999999999995 41.19999999999993,475.5 777.1 1102.1,278.4 370.2 429.3,JUNGLE,NONE,40.8 -134.5 -20.80000000000004,353.1 504.5 666.6,1478528757
5,14,14,0,196,196,24358,6,1,false,false,false,false,false,false,9978,9125,3109,3050,3401,2055,3070,3158,3364,1,5,640,23305,3929,10087,0,0,0,13806,2333,10626,47156,7720,21559,12492,69,10044,1457,844,44,CHALLENGER,14,4,false,100,1.2999999999999998 2.5 2.7,-0.2999999999999994 0.8999999999999999 -0.7999999999999994,-99.74999999999997 -257.25 -70.54999999999995,265 616.6 984.9000000000001,184.5 391 331.3,BOTTOM,DUO_SUPPORT,-11.749999999999943 73.05000000000007 -222.75000000000006,286.20000000000005 402.9 543.0999999999999,1478528757
6,12,17,0,10927,5636,36237,4,0,false,false,false,true,false,true,16425,15150,3748,3193,3071,1011,3111,3194,3340,2,9,1120,3488,3134,9813,4,0,4,168858,15645,23879,176520,18993,35311,7394,265,4174,213,1619,56,CHALLENGER,4,12,true,200,9.3 10.7 6.300000000000001,,,502.2 1038.2 1622.5,346.8 538.1 617.9,TOP,DUO,,476.79999999999995 636 576.3,1478528757
7,13,17,0,24385,918,9428,4,1,false,false,false,false,false,false,14218,12790,3157,3916,3020,1414,2055,3089,3364,3,9,804,168786,21712,14762,156,21,112,15828,1002,12009,193107,23869,27269,12272,29,8493,1155,497,163,CHALLENGER,11,4,true,200,0.2 1.1 1.4,-0.39999999999999997 0.19999999999999996 -3.6,57.900000000000006 170.79999999999995 -41.19999999999993,533.4000000000001 947.9 1060.9,225 474.4 547.5,JUNGLE,NONE,-40.8 134.5 20.80000000000004,312.3 639 687.4000000000001,1478528757
8,4,18,0,6457,3942,41731,3,1,false,false,false,false,false,false,15857,13555,3022,2420,3800,3111,3071,3194,3340,3,9,954,447,331,13749,1,1,0,185730,14754,11726,196778,17295,26055,2645,283,10601,2209,580,6,CHALLENGER,12,4,true,200,7.4 10.2 10.3,,,430.2 702.6 1260.7,292.9 467 674.7,TOP,DUO,,467.8 652.1 809.2,1478528757
9,19,14,0,1539,1114,35017,6,0,false,false,true,false,false,false,9179,9000,3190,0,1033,3401,3024,3111,3364,0,1,661,14134,4791,8614,0,0,0,9435,2219,16706,33094,7690,26442,3897,53,9525,678,1121,89,CHALLENGER,14,4,true,200,1.6 2.2 1.2,0.2999999999999994 -0.8999999999999999 0.7999999999999994,99.74999999999997 257.25 70.54999999999995,478.7 943.4 1073.3000000000002,188.9 268.6 339.5,BOTTOM,DUO_SUPPORT,11.749999999999943 -73.05000000000007 222.75000000000006,284.9 318.2 540.4,1478528757
10,10,18,0,24448,9857,13247,4,2,false,false,false,false,false,false,16968,15800,3089,2421,3095,3124,3115,3006,3363,4,13,505,53997,14868,10184,42,12,16,155249,15080,12149,223694,30639,22721,7965,244,14448,689,387,145,UNRANKED,7,4,true,200,8.6 5.800000000000001 8.7,0.2999999999999994 -0.8999999999999999 0.7999999999999994,99.74999999999997 257.25 70.54999999999995,289.1 694.6 1038.1,334.9 419.7 732.4,BOTTOM,DUO_CARRY,11.749999999999943 -73.05000000000007 222.75000000000006,334.5 419.79999999999995 914.7,1478544195
1,3,12,0,108,0,4586,4,0,false,false,false,false,false,false,6692,6050,3504,3117,3098,2055,3114,0,3364,0,0,1010,25162,8409,4396,0,0,0,2531,585,4993,28396,9697,10106,2989,27,703,703,716,40,CHALLENGER,14,4,false,100,0.2 1.1 1.1,-1.65 -0.6000000000000001 2.05,-122.15000000000002 -139 -137.45,210.6 403.70000000000005 111.3,141.7 224.60000000000002 205.2,BOTTOM,DUO_SUPPORT,-50.50000000000003 -58.85000000000002 69.85000000000002,252.89999999999998 237.29999999999998 446.6,1478544195
2,1,16,0,3566,3566,12829,2,0,false,false,false,false,false,false,10728,10050,1054,3142,3134,3155,3111,3071,3340,1,3,1185,5678,185,6690,0,0,0,139984,9529,11219,145662,9715,19246,2008,243,0,0,1336,238,DIAMOND,12,4,false,100,7.6000000000000005 9.7 6.3,,,159.8 521 633.7,248.2 391.7 346.6,TOP,SOLO,,428.70000000000005 589.5 466.6,1478544195
3,1,16,0,462,267,8947,3,0,false,false,false,false,false,false,9899,9525,3285,1056,2031,3102,3916,3020,3363,0,1,768,140119,10313,12691,0,0,0,11154,438,6146,167576,10751,19532,4997,242,16302,0,694,26,UNRANKED,4,12,false,100,7.7 7.699999999999999 7.9,,,373.9 846.8 537.8,257.6 313 314.2,MIDDLE,SOLO,,428.70000000000005 512.1 488.9,1478544195
4,4,17,0,8698,0,16343,2,0,false,false,false,false,false,false,11649,11385,2055,3158,3157,1402,3100,0,3364,1,3,1568,144737,9547,6856,175,19,137,49686,1193,18536,208320,11930,26024,8825,45,13896,1188,631,38,UNRANKED,11,4,false,100,0.1 1.2999999999999998 2.5,-0.2 0.1999999999999999 1.9,157.80000000000004 -21.399999999999977 -18.900000000000034,704.5 855.2 789.8,232 414.7 406.4,JUNGLE,NONE,-5.799999999999983 223.29999999999998 135.9,328.5 684.2 601.9000000000001,1478544195
5,2,16,0,8513,90,7604,3,0,false,false,false,false,false,false,12703,11825,1056,3006,3085,3095,3124,1037,3363,1,2,994,34015,4900,4627,14,0,9,188565,6796,8051,224819,11696,13944,3088,299,2239,0,1265,145,CHALLENGER,7,4,false,100,7.1 9.3 12.7,-1.65 -0.6000000000000001 2.05,-122.15000000000002 -139 -137.45,157.8 439.3 502.6,245 414.29999999999995 494,BOTTOM,DUO_CARRY,-50.50000000000003 -58.85000000000002 69.85000000000002,255.1 513.0999999999999 703.4,1478544195
6,1,15,0,34794,2565,12575,2,0,false,false,true,false,true,false,10701,9900,1400,3142,3147,1036,1001,1036,3364,0,1,1447,5539,451,7116,157,9,104,150484,7623,16961,171782,8874,24276,11433,22,15757,798,198,121,CHALLENGER,11,4,true,200,0.30000000000000004 1.1 0.6000000000000001,0.2 -0.1999999999999999 -1.9,-157.80000000000004 21.399999999999977 18.900000000000034,546.7 876.5999999999999 808.7,243.1 359.70000000000005 325.9,JUNGLE,NONE,5.799999999999983 -223.29999999999998 -135.9,334.29999999999995 460.9 466,1478544195
7,5,17,0,17777,7226,8052,0,1,false,false,false,true,false,false,14213,12350,3285,3165,1058,1082,3135,3020,3363,1,5,0,167105,16138,9650,28,8,20,14905,806,4631,189685,17201,14630,1527,246,7673,256,349,61,CHALLENGER,7,4,true,200,8.7 8.399999999999999 6.5,,,337 703.5999999999999 164.3,283.1 481 487.6,MIDDLE,DUO,,487.20000000000005 561.6 542.0999999999999,1478544195
8,4,16,0,27766,14702,13062,2,1,false,true,true,false,false,true,17046,14625,3031,3006,3094,3095,2055,3072,3363,2,6,972,7481,679,6495,19,4,5,195451,14394,4235,217316,17528,11019,683,275,14382,2455,288,119,CHALLENGER,4,7,true,200,8.899999999999999 9.4 8.399999999999999,1.65 0.6000000000000001 -2.05,122.15000000000002 139 137.45,282.6 411.9 249.7,333.6 598.9 460.3,BOTTOM,DUO_CARRY,50.50000000000003 58.85000000000002 -69.85000000000002,335.7 518.1 615.5,1478544195
9,11,14,0,1357,565,19865,1,0,false,false,true,false,false,false,9674,7395,3401,3800,2424,3117,2055,1057,3364,0,2,884,8376,5543,8288,0,0,0,7136,460,10040,31405,7049,19044,9796,54,15893,1044,715,12,CHALLENGER,14,4,true,200,1.7 2.2 1.3,1.65 0.6000000000000001 -2.05,122.15000000000002 139 137.45,330.1 709.1 639.0999999999999,183.89999999999998 329.1 282.8,BOTTOM,DUO_SUPPORT,50.50000000000003 58.85000000000002 -69.85000000000002,273.3 350 394.79999999999995,1478544195
10,4,17,0,8053,2211,17045,4,0,false,false,false,false,true,false,11686,10285,3165,1054,3157,3111,3116,1052,3340,0,0,682,127377,10084,5257,16,4,0,15413,367,10633,149254,10541,16231,270,233,6463,90,340,68,DIAMOND,4,12,true,200,8.1 8.5 4.5,,,95.69999999999999 518 776.7,270.4 350.8 379.7,MIDDLE,DUO,,464.5 467.4 566.5,1478548745
1,9,12,0,5774,1070,14097,8,0,false,true,false,false,false,false,7540,7350,3142,2031,3047,1412,1036,0,3340,0,1,350,4998,967,5583,80,5,59,84960,9737,18057,95188,11779,26072,10226,20,5230,1074,2432,121,DIAMOND,4,11,false,100,0.4 0.6,-0.19999999999999996 -2.3,143.70000000000002 72.69999999999999,891.8000000000001 1037.4,299.9 289.2,JUNGLE,NONE,-114.10000000000002 -98.1,379.6 418.5,1478548745
2,9,14,0,1128,1128,14345,4,0,false,false,false,false,false,false,8350,8360,1028,3152,1082,3020,3165,1052,3340,0,2,488,60984,12683,5151,1,0,1,19862,3139,9096,87470,16131,16025,3416,152,6623,309,1777,497,UNRANKED,4,12,false,100,5.8 6.1,,,414 835.7,298.8 347.1,TOP,SOLO,,418.9 487,1478548745
3,2,14,0,1402,1402,10082,3,1,false,false,false,false,false,false,10341,10033,3078,2033,3077,3053,3047,0,3363,1,5,675,16477,3706,3115,0,0,0,102370,6412,11890,120913,12183,15963,3107,220,2064,2064,958,39,UNRANKED,14,4,false,100,8.8 8.8,,,361.6 648.7,263.7 444.29999999999995,MIDDLE,SOLO,,415.2 463.8,1478548745
4,5,12,0,0,0,14084,9,2,false,false,false,false,false,false,8629,8050,3110,3117,3401,2031,1038,1031,3364,2,8,380,22,22,6209,0,0,0,16370,4775,9000,23460,6507,17564,2383,32,7067,1709,2354,555,CHALLENGER,4,14,false,100,1.2 1.3,-0.40000000000000013 -1.25,59.150000000000006 181.8,467.70000000000005 879.9,240.6 435.79999999999995,BOTTOM,DUO_SUPPORT,-8.950000000000017 -116.75000000000003,284.7 339.9,1478548745
5,6,12,0,3585,0,6930,10,1,false,false,false,false,false,false,9808,9125,3153,3006,1042,3124,1042,1042,3363,1,7,417,8556,4147,4028,4,0,4,61799,14382,10680,72860,18793,16842,1273,130,2504,263,2133,110,DIAMOND,4,7,false,100,6.1 5.1,-0.40000000000000013 -1.25,59.150000000000006 181.8,401.6 918.7,360 323,BOTTOM,DUO_CARRY,-8.950000000000017 -116.75000000000003,345.4 306.5,1478548745
6,8,14,0,15832,4312,13830,8,0,false,false,false,false,false,false,11940,10200,1055,3812,1038,3046,3047,1036,3363,2,5,376,0,0,2937,19,6,5,112624,11509,11087,116989,13060,16508,3410,176,4364,1550,2483,119,UNRANKED,7,4,true,200,6.6 7.8,0.40000000000000013 1.25,-59.150000000000006 -181.8,459.7 833.7,322.1 529.8,BOTTOM,DUO_CARRY,8.950000000000017 116.75000000000003,294.9 540.3,1478548745
7,9,13,0,9531,1618,19188,5,0,false,false,true,false,false,false,8145,7825,1054,3800,3193,2055,3047,3076,3340,0,0,447,56654,8168,7274,0,0,0,15619,2954,13443,84714,11122,24404,7776,133,12440,0,3686,57,DIAMOND,4,12,true,200,7.1 5.8999999999999995,,,662.7 1050.7,268.8 314.9,TOP,DUO,,431.7 488.9,1478548745
8,11,16,0,7602,6109,16606,1,1,false,false,false,false,false,false,13958,13350,3077,3053,3071,3143,3047,1038,3340,2,10,1374,2729,2006,4705,16,4,8,134894,15248,13023,145192,19783,19376,4440,190,7568,2528,1647,56,CHALLENGER,4,12,true,200,8.1 8.1,,,335.9 837,360.79999999999995 623.7,TOP,DUO,,515.9 599.6,1478548745
9,5,14,0,26037,4803,19191,2,4,false,false,false,true,false,true,14119,14175,3047,3053,3026,3071,3742,2055,3364,2,14,1159,4945,0,4964,111,30,55,115384,11924,16694,147458,16771,22299,7724,43,27128,4847,640,2,CHALLENGER,11,6,true,200,0.6 2.9000000000000004,0.19999999999999996 2.3,-143.70000000000002 -72.69999999999999,748.1 964.7,450.2 629.5999999999999,JUNGLE,NONE,114.10000000000002 98.1,493.70000000000005 516.6,1478548745
10,10,12,0,6765,3263,3919,7,0,false,false,false,false,false,false,9259,7785,3092,3165,2031,1026,1052,3020,3364,2,5,381,42480,13288,3503,8,4,0,4423,723,7792,48379,14740,11956,320,31,1475,729,660,143,UNRANKED,4,14,true,200,1.5 1.1,0.40000000000000013 1.25,-59.150000000000006 -181.8,291.3 601.3,223.39999999999998 392.29999999999995,BOTTOM,DUO_SUPPORT,8.950000000000017 116.75000000000003,353.1 339.6,1481346349
1,7,10,0,710,710,2881,4,0,false,false,,,true,false,5996,5700,3092,3117,3136,1026,0,0,3364,0,0,395,29163,11505,3670,0,0,0,3147,926,3365,32986,13108,7200,0,21,676,676,164,143,MASTER,4,14,false,100,0.4 1.4,-0.39999999999999925 -1.9499999999999997,-123.99999999999999 -178.10000000000008,199.7 339.9,197.9 264.6,BOTTOM,DUO_SUPPORT,20.950000000000003 -90.6,287.8 329.2,1481346349
2,6,12,0,593,593,9292,4,0,false,false,,,true,false,7910,7800,3046,3053,3006,1054,0,0,3363,0,1,859,8066,384,5460,4,0,0,87276,4825,5505,95652,5519,11217,641,175,309,309,250,157,MASTER,3,4,false,100,7.300000000000001 6.300000000000001,-0.39999999999999925 -1.9499999999999997,-123.99999999999999 -178.10000000000008,226.5 584,309.5 297,BOTTOM,DUO_CARRY,20.950000000000003 -90.6,323.1 408.29999999999995,1481346349
3,3,13,0,976,0,11784,5,0,false,false,,,false,false,8895,8450,3071,3077,1053,3111,3133,0,3340,1,4,533,0,0,4024,8,4,1,102311,7859,9926,106571,9574,15166,297,173,4260,1715,1215,92,CHALLENGER,4,12,false,100,6.6 8.3,-0.7000000000000002 1.1,54.40000000000002 -278.59999999999997,309 776.2,261.1 485,TOP,SOLO,-64.6 126.30000000000004,408.5 613.3,1481346349
